created_at,Product,Cost,Home,Bill_Item,Bills,Payoff,Entertainment,Ciger,Groceries,Mortgage,Petrol,Food,Driving,Toll,Total_Expenses
21/11/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
22/11/2014,hair cut,29,0,nill,0,0,0,0,0,0,0,0,0,0,0
23/11/2014,lia med,15,0,nill,0,0,0,0,0,0,0,0,0,0,15
24/11/2014,lia,50,0,Internet,99.95,0,0,0,72.26,791,0,13,0,6.29,1032.5
25/11/2014,Movie,0,0,Health INSU,75.6,0,26,0,0,0,103.7,24,0,6.29,235.59
26/11/2014,AAMI Comp Insu,0,0,nill,0,0,0,0,0,0,0,24,840,6.29,870.29
27/11/2014,nill,0,0,Rates,371,0,48,0,0,0,0,24,0,6.29,449.29
28/11/2014,deck color n etc,0,200,Wealth Pkg,397,0,0,102,0,0,0,24,0,6.29,729.29
29/11/2014,nill,0,0,nill,0,0,64,0,0,0,0,0,0,0,64
30/11/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
01/12/2014,nill,0,0,Health INSU,51.5,0,0,0,0,791,0,24,0,6.29,872.79
02/12/2014,Bunnings,0,149,nill,0,0,0,20,30,0,0,24,0,6.29,229.29
03/12/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,0,6.29,23.29
04/12/2014,nill,0,0,Optus,120,0,0,0,0,0,0,24,0,6.29,150.29
05/12/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,0,6.29,23.29
06/12/2014,nill,0,0,nill,0,0,0,0,0,0,0,0,0,0,0
07/12/2014,nill,0,0,nill,0,0,39,0,114.28,0,84.64,0,0,0,237.92
08/12/2014,nill,0,0,nill,0,0,0,0,0,791,0,17,0,6.29,814.29
09/12/2014,nill,0,0,nill,0,0,0,0,25.71,0,0,17,0,6.29,49
10/12/2014,nill,0,0,nill,0,0,0,0,0,0,0,17,0,6.29,23.29
11/12/2014,nill,0,0,Lawn,55,0,0,0,0,0,0,24,0,6.29,85.29
12/12/2014,nill,0,0,Water bill,351,0,0,0,0,0,0,24,0,6.29,381.29
